Agence,NomAgence,Référence,Type,Arrêt,Adresse,Ville,Secteur Inter.,Nom Client,Nom Technicien
0001,Agence Genas,AF16004,Ascenseur,Non,46/48 rue Pierre Sémard – CS27100,Lyon,0045,DIMA PROTECHNIC,Mohamed BESSAFI
0001,Agence Genas,AF16007,Porte de garage,Non,"2, ALLEE DES BOUVREUILS ",TASSIN LA DEMI LUNE,0073,SDC LE SYCOMORE,Yann GENIEIS
0001,Agence Genas,AF16008,Portail,Non,"21,CHEMIN DE CHIRADIE",BRIGNAIS,0073,SDC LA CHIRADIE,Yann GENIEIS
0001,Agence Genas,AF16009,Ascenseur,Non,"43,QUAI PIERRE SCIZE ",LYON,0072,"SDC - 43, QUAI PIERRE SCIZE ",Nouredine BOUNAAS
0001,Agence Genas,AF16015,Ascenseur,Non,"23, RUE LORTET ",LYON,0045,"SDC 23, RUE LORTET ",Mohamed BESSAFI
0001,Agence Genas,AF16013,Ascenseur,Non,6 rue des Teinturiers,LYON,0053,SDC- L'HELIODORE,Christopher WILTORD
0001,Agence Genas,AF16014,Ascenseur,Non,80 cours de la République,Villeurbanne,0027,SDC - 80 COURS DE LA RÉPUBLIQUE ,Luc CHAROLLAIS
0001,Agence Genas,AF16019,Ascenseur,Non,"1, QUAI FULCHIRON ",lyon,0072,"SDC - 1,QUAI FULCHIRON",Nouredine BOUNAAS
0001,Agence Genas,CN086A1,Ascenseur,Non,"4, RUE ANDRE PALISSON ",OYONNAX,0048,RESIDENCE CROIX ROUSSE,Paul SAULNIER
0001,Agence Genas,CN086A2,Ascenseur,Non,"2, RUE ANDRE PALISSON ",OYONNAX,0048,RESIDENCE CROIX ROUSSE,Paul SAULNIER
0001,Agence Genas,CN086H,Ascenseur,Oui,"1, PLACE LIEUTENANT BRUN",OYONNAX,0048,RESIDENCE CROIX ROUSSE,Paul SAULNIER
0001,Agence Genas,CN088,Ascenseur,Non,"12, CLOS DES MURIERS",SAINT MAURICE SUR DARGOIRE ,0006,SDC Les Balcons de Saint Maurice,Aurélien GUERIN
0001,Agence Genas,AF16053,Porte de garage,Non,"ROUTE DE FONDRIEU, Bat A",RONTALON,0073,LES TERRASSES DU BOURG,Yann GENIEIS
0001,Agence Genas,AF16054,Porte de garage,Non,"ROUTE DE FONDRIEU, Bat B",RONTALON,0073,LES TERRASSES DU BOURG,Yann GENIEIS
0001,Agence Genas,AF16055,Porte de garage,Non,"ROUTE DE FONDRIEU, Bat C",RONTALON,0073,LES TERRASSES DU BOURG,Yann GENIEIS
0001,Agence Genas,AF16056,Ascenseur,Non,"2, AVENUE DAMICHON",CRAPONNE,0006,SDC VILLA ADRIANA,Aurélien GUERIN
0001,Agence Genas,AF16059,Ascenseur,Non,"17, BOULEVARD DE LA DUCHERE référence 1058/3459",LYON,0072,SDC - LA CANOPEE,Nouredine BOUNAAS
