Agence,NomAgence,Référence,Type,Arrêt,Adresse,Ville,Secteur Inter.,Nom Client,Nom Technicien,adresse_complete,longitude,latitude
1,Agence Genas,AF16007,Porte de garage,Non,"2, ALLEE DES BOUVREUILS ",TASSIN LA DEMI LUNE,73,SDC LE SYCOMORE,Yann GENIEIS,"2, ALLEE DES BOUVREUILS , TASSIN LA DEMI LUNE, France",4.7467991,45.753718
1,Agence Genas,AF16008,Portail,Non,"21,CHEMIN DE CHIRADIE",BRIGNAIS,73,SDC LA CHIRADIE,Yann GENIEIS,"21,CHEMIN DE CHIRADIE, BRIGNAIS, France",4.7658004,45.6712475
1,Agence Genas,AF16009,Ascenseur,Non,"43,QUAI PIERRE SCIZE ",LYON,72,"SDC - 43, QUAI PIERRE SCIZE ",Nouredine BOUNAAS,"43,QUAI PIERRE SCIZE , LYON, France",4.8186556,45.7661049
1,Agence Genas,AF16015,Ascenseur,Non,"23, RUE LORTET ",LYON,45,"SDC 23, RUE LORTET ",Mohamed BESSAFI,"23, RUE LORTET , LYON, France",4.8374403,45.7427222
1,Agence Genas,AF16013,Ascenseur,Non,6 rue des Teinturiers,LYON,53,SDC- L'HELIODORE,Christopher WILTORD,"6 rue des Teinturiers, LYON, France",4.8668192,45.7586961
1,Agence Genas,AF16014,Ascenseur,Non,80 cours de la République,Villeurbanne,27,SDC - 80 COURS DE LA RÉPUBLIQUE ,Luc CHAROLLAIS,"80 cours de la République, Villeurbanne, France",4.8739654,45.7640866
1,Agence Genas,AF16019,Ascenseur,Non,"1, QUAI FULCHIRON ",lyon,72,"SDC - 1,QUAI FULCHIRON",Nouredine BOUNAAS,"1, QUAI FULCHIRON , lyon, France",4.8274812,45.7593756
1,Agence Genas,CN086A1,Ascenseur,Non,"4, RUE ANDRE PALISSON ",OYONNAX,48,RESIDENCE CROIX ROUSSE,Paul SAULNIER,"4, RUE ANDRE PALISSON , OYONNAX, France",5.6568321,46.2568346
1,Agence Genas,CN086A2,Ascenseur,Non,"2, RUE ANDRE PALISSON ",OYONNAX,48,RESIDENCE CROIX ROUSSE,Paul SAULNIER,"2, RUE ANDRE PALISSON , OYONNAX, France",5.6568321,46.2568346
1,Agence Genas,CN086H,Ascenseur,Oui,"1, PLACE LIEUTENANT BRUN",OYONNAX,48,RESIDENCE CROIX ROUSSE,Paul SAULNIER,"1, PLACE LIEUTENANT BRUN, OYONNAX, France",5.656347,46.256902
